MS_SubClass,MS_Zoning,Lot_Area,Alley,Neighborhood,Bldg_Type,Overall_Qual,Year_Built,Roof_Style,Roof_Matl,Mas_Vnr_Type,1st_Flr_SF,2nd_Flr_SF,Garage_Area,Paved_Drive,SalePrice,total_sq
1-STORY 1946 & NEWER,Resi Low Density,8700,True,NAmes,1Fam,Average,1963,Hip,CompShg,BrkFace,1128,0,525.0,Paved,155000,1653.0
2-STORY 1946 & NEWER,Resi Low Density,12003,True,Timber,1Fam,Very good,2009,Gable,CompShg,BrkFace,774,1194,680.0,Paved,269500,2648.0
SPLIT OR MULTI-LEVEL,Resi Low Density,12700,True,NAmes,1Fam,Above Avg,1964,Gable,CompShg,None,1246,0,441.0,Paved,172000,1687.0
2-STORY 1945 & OLDER,Resi Low Density,13125,True,Crawfor,1Fam,Good,1940,Gable,CompShg,None,960,780,240.0,Paved,219500,1980.0
1-STORY 1946 & NEWER,Resi Low Density,8638,True,Sawyer,1Fam,Average,1963,Gable,CompShg,None,925,0,484.0,Paved,133500,1409.0
SPLIT OR MULTI-LEVEL,Resi Low Density,9967,True,Gilbert,1Fam,Good,2000,Gable,CompShg,None,774,656,400.0,Paved,170000,1830.0
2-STORY 1945 & OLDER,Resi Med Density,9600,False,OldTown,1Fam,Very good,1900,Gable,CompShg,None,930,636,288.0,Paved,150000,1854.0
1-STORY 1946 & NEWER,Resi Low Density,12774,True,NAmes,1Fam,Average,1953,Hip,CompShg,None,950,0,400.0,Paved,130000,1350.0
SPLIT OR MULTI-LEVEL,Resi Low Density,8163,True,NAmes,1Fam,Average,1959,Gable,CompShg,BrkFace,1144,0,796.0,Paved,143000,1940.0
1-STORY 1946 & NEWER,Resi Low Density,9900,True,NAmes,1Fam,Average,1961,Gable,CompShg,None,1114,0,451.0,Paved,140000,1565.0
1-STORY 1946 & NEWER,Resi Low Density,13651,True,NAmes,1Fam,Good,1973,Gable,CompShg,BrkFace,2223,0,516.0,Paved,244000,2739.0
2-1/2 STORY,Resi Med Density,7200,True,IDOTRR,1Fam,Average,1920,Gable,CompShg,None,581,530,288.0,Dirt/Gravel,101000,1399.0
1-STORY 1946 & NEWER,Resi Med Density,9750,False,OldTown,1Fam,Average,1958,Hip,CompShg,None,960,0,624.0,Paved,125000,1584.0
2-STORY 1946 & NEWER,Resi Low Density,11184,True,Gilbert,1Fam,Above Avg,1998,Gable,CompShg,None,932,701,460.0,Paved,183000,2093.0
2-1/2 STORY,Resi Med Density,5520,True,OldTown,1Fam,Above Avg,1912,Gable,CompShg,None,929,929,0.0,Paved,104000,1858.0
1-1/2 STORY UNFINISHED,Resi Low Density,6390,True,NAmes,1Fam,Above Avg,1954,Gable,CompShg,None,984,0,280.0,Paved,112500,1264.0
1-STORY 1946 & NEWER,Resi Low Density,10240,True,NWAmes,1Fam,Above Avg,1980,Gable,CompShg,BrkFace,1686,0,612.0,Paved,207500,2298.0
1-STORY 1946 & NEWER,Resi Low Density,9316,True,CollgCr,1Fam,Good,2005,Gable,CompShg,BrkFace,1614,0,576.0,Paved,225000,2190.0
1-STORY 1946 & NEWER,Resi Low Density,7200,True,CollgCr,1Fam,Average,1972,Gable,CompShg,None,864,0,297.0,Paved,119900,1161.0
1-STORY 1946 & NEWER,Resi Low Density,12228,True,NridgHt,1Fam,Good,2006,Hip,CompShg,Stone,1740,0,874.0,Paved,293000,2614.0
1-STORY 1946 & NEWER,Resi Low Density,10335,True,Sawyer,1Fam,Average,1968,Gable,CompShg,None,1721,0,440.0,Paved,180000,2161.0
SPLIT OR MULTI-LEVEL,Resi Low Density,12328,True,Mitchel,1Fam,Above Avg,1976,Gable,CompShg,BrkFace,1034,0,888.0,Paved,169900,1922.0
DUPLEX,Resi Med Density,8930,True,Sawyer,Duplex,Above Avg,1978,Gable,CompShg,None,1318,584,539.0,Paved,112000,2441.0
1-STORY 1946 & NEWER,Resi Low Density,9672,True,SawyerW,1Fam,Above Avg,1984,Hip,CompShg,None,1097,0,480.0,Paved,152000,1577.0
2-STORY 1946 & NEWER,Resi Low Density,13975,True,NridgHt,1Fam,Excellent,2005,Hip,CompShg,BrkFace,1117,1089,670.0,Paved,300000,2876.0
SPLIT OR MULTI-LEVEL,Resi Low Density,7819,True,Edwards,1Fam,Above Avg,1976,Gable,CompShg,None,1117,0,672.0,Paved,107000,1789.0
2 FAMILY CONVERSION,Resi Med Density,11340,True,OldTown,2fmCon,Below Avg,1885,Gable,CompShg,None,1246,1044,560.0,Dirt/Gravel,122500,2850.0
2ST PUD - 1946 & NEWER,Resi Med Density,1680,True,BrDale,Twnhs,Above Avg,1972,Gable,CompShg,BrkFace,483,465,264.0,Paved,89000,1212.0
1-1/2 STORY FINISHED,Resi Low Density,6001,True,SWISU,1Fam,Above Avg,1940,Gable,CompShg,None,600,319,231.0,Paved,95000,1150.0
1-STORY 1946 & NEWER,Resi Low Density,11700,True,NWAmes,1Fam,Above Avg,1968,Gable,CompShg,BrkFace,1152,0,412.0,Paved,143450,1564.0
2-STORY 1946 & NEWER,Resi Low Density,12858,True,NridgHt,1Fam,Excellent,2009,Gable,CompShg,Stone,1627,707,751.0,Paved,376162,3085.0
1-STORY 1946 & NEWER,Resi Low Density,9300,True,NAmes,1Fam,Average,1960,Gable,CompShg,BrkFace,1264,0,461.0,Paved,167500,1725.0
DUPLEX,Resi Low Density,7018,True,SawyerW,Duplex,Average,1979,Gable,CompShg,Stone,1224,0,528.0,Paved,153337,1752.0
2-STORY 1945 & OLDER,Resi High Density,6629,True,Edwards,1Fam,Above Avg,1925,Gambrel,CompShg,None,697,672,300.0,Paved,103600,1669.0
1-STORY 1946 & NEWER,Resi Low Density,10650,True,CollgCr,1Fam,Average,1976,Gable,CompShg,None,894,0,308.0,Paved,128200,1202.0
2ST PUD - 1946 & NEWER,Floating Village,2117,True,Somerst,Twnhs,Above Avg,2000,Gable,CompShg,BrkFace,769,804,440.0,Paved,177500,2013.0
2-STORY 1946 & NEWER,Resi Low Density,13650,True,NridgHt,1Fam,Very good,2002,Gable,CompShg,BrkFace,1687,563,756.0,Paved,320000,3006.0
2-STORY 1946 & NEWER,Resi Low Density,8433,True,Gilbert,1Fam,Above Avg,2000,Gable,CompShg,None,819,695,394.0,Paved,190000,1908.0
2ST PUD - 1946 & NEWER,Resi Med Density,1680,True,BrDale,Twnhs,Above Avg,1971,Gable,CompShg,BrkFace,672,546,0.0,Dirt/Gravel,91500,1218.0
2 FAMILY CONVERSION,Resi Med Density,6000,True,OldTown,2fmCon,Average,1954,Gable,CompShg,None,811,576,256.0,Paved,93000,1643.0
2-STORY 1945 & OLDER,Commercial,8500,False,IDOTRR,1Fam,Below Avg,1920,Gambrel,CompShg,None,649,668,250.0,Dirt/Gravel,40000,1567.0
2-STORY 1945 & OLDER,Resi Med Density,6882,True,IDOTRR,1Fam,Above Avg,1914,Gable,CompShg,None,773,582,0.0,Paved,127000,1355.0
1-STORY 1945 & OLDER,Commercial,8712,True,IDOTRR,1Fam,Below Avg,1896,Hip,CompShg,None,952,0,330.0,Dirt/Gravel,50138,1282.0
1-STORY 1946 & NEWER,Resi Low Density,7917,True,Edwards,1Fam,Above Avg,1976,Hip,CompShg,BrkFace,1113,0,504.0,Paved,148000,1617.0
1-STORY 1945 & OLDER,Resi Med Density,6900,True,IDOTRR,1Fam,Average,1940,Gable,CompShg,None,778,0,924.0,Paved,120500,1702.0
1-1/2 STORY FINISHED,Resi Low Density,9900,True,SWISU,1Fam,Above Avg,1940,Gable,CompShg,None,944,545,240.0,Paved,139500,1729.0
1-STORY 1946 & NEWER,Resi Low Density,13286,True,Edwards,1Fam,Excellent,2007,Hip,CompShg,Stone,1698,0,768.0,Paved,320000,2466.0
2-STORY 1945 & OLDER,Resi Low Density,12888,True,Sawyer,1Fam,Good,1937,Gable,CompShg,None,1262,1005,498.0,Paved,219000,2765.0
1-STORY 1946 & NEWER,Resi Low Density,8885,True,Mitchel,1Fam,Average,1983,Gable,CompShg,None,902,0,484.0,Paved,131000,1386.0
2-STORY 1946 & NEWER,Resi Low Density,8857,True,Gilbert,1Fam,Above Avg,2006,Gable,CompShg,None,738,757,440.0,Paved,171925,1935.0
1-STORY 1946 & NEWER,Resi Low Density,14137,True,Gilbert,1Fam,Average,1996,Gable,CompShg,None,1384,0,404.0,Paved,177900,1788.0
2-STORY 1945 & OLDER,Resi Low Density,6720,True,Crawfor,1Fam,Above Avg,1921,Gable,CompShg,None,851,585,228.0,Paved,141500,1664.0
2-STORY 1946 & NEWER,Resi Low Density,7500,True,Gilbert,1Fam,Above Avg,1998,Gable,CompShg,None,952,684,440.0,Paved,191000,2076.0
1-STORY 1946 & NEWER,Resi Low Density,13072,True,SawyerW,1Fam,Above Avg,2004,Gable,CompShg,None,1158,0,576.0,Paved,158000,1734.0
1-STORY 1946 & NEWER,Resi Low Density,10656,True,Timber,1Fam,Very good,2006,Gable,CompShg,Stone,1646,0,870.0,Paved,248900,2516.0
1-1/2 STORY FINISHED,Resi Low Density,7200,True,SWISU,1Fam,Average,1937,Gable,CompShg,BrkFace,981,787,240.0,Paved,175000,2008.0
2 FAMILY CONVERSION,Resi Low Density,8800,True,NAmes,2fmCon,Above Avg,1965,Hip,CompShg,None,1565,0,299.0,Paved,185900,1864.0
2-1/2 STORY,Resi Med Density,10800,True,OldTown,1Fam,Good,1914,Gable,CompShg,None,880,888,320.0,Dirt/Gravel,163000,2088.0
2 FAMILY CONVERSION,Commercial,9000,True,IDOTRR,2fmCon,Average,1951,Gable,CompShg,None,1060,336,0.0,Paved,115000,1396.0
SPLIT OR MULTI-LEVEL,Resi Low Density,13014,True,Sawyer,1Fam,Above Avg,1978,Gable,CompShg,BrkFace,1096,0,484.0,Paved,157500,1580.0
2-STORY 1946 & NEWER,Resi Low Density,15896,True,Gilbert,1Fam,Good,1999,Gable,CompShg,BrkFace,1223,1089,658.0,Paved,245000,2970.0
1-STPUD-1946 & NEWER,Resi Low Density,5395,True,StoneBr,TwnhsE,Very good,1993,Gable,CompShg,None,1337,0,462.0,Paved,180000,1799.0
2ST PUD - 1946 & NEWER,Floating Village,5105,True,Somerst,TwnhsE,Good,2004,Gable,CompShg,None,551,551,480.0,Paved,148800,1582.0
2-STORY 1946 & NEWER,Resi Low Density,9473,True,CollgCr,1Fam,Very good,2002,Gable,CompShg,0,1128,903,577.0,Paved,237000,2608.0
1-STORY 1945 & OLDER,Resi Low Density,8400,True,SWISU,1Fam,Poor,1920,Gable,CompShg,None,438,0,246.0,Dirt/Gravel,60000,684.0
SPLIT FOYER,Resi Low Density,12102,True,Edwards,1Fam,Average,1976,Gable,CompShg,BrkFace,1033,0,504.0,Paved,165000,1537.0
2-STORY 1946 & NEWER,Resi Low Density,10905,True,CollgCr,1Fam,Good,2003,Gable,CompShg,None,1129,1198,596.0,Paved,240000,2923.0
1-STORY 1946 & NEWER,Resi Low Density,9556,True,Gilbert,1Fam,Good,1992,Gable,CompShg,BrkFace,1187,0,420.0,Paved,160000,1607.0
2 FAMILY CONVERSION,Resi High Density,6430,True,SWISU,2fmCon,Above Avg,1945,Gable,CompShg,None,816,524,440.0,Paved,128000,1780.0
DUPLEX,Resi Low Density,6040,True,Edwards,Duplex,Below Avg,1955,Gable,CompShg,None,1152,0,0.0,Dirt/Gravel,82000,1152.0
1-STORY 1946 & NEWER,Resi Low Density,14695,True,NAmes,1Fam,Above Avg,1966,Gable,CompShg,BrkFace,1567,0,542.0,Paved,256000,2109.0
2-STORY 1945 & OLDER,Resi Med Density,9000,True,OldTown,1Fam,Good,1920,Hip,CompShg,None,832,650,324.0,Paved,143000,1806.0
1-STORY 1946 & NEWER,Resi Low Density,8368,True,Timber,1Fam,Good,2006,Gable,CompShg,None,1689,0,433.0,Paved,231713,2122.0
2 FAMILY CONVERSION,Resi Low Density,41600,True,Gilbert,2fmCon,Average,1969,Gable,CompShg,None,1424,0,828.0,Dirt/Gravel,155000,2252.0
1-STORY 1946 & NEWER,Resi Low Density,6490,True,Mitchel,1Fam,Average,1983,Gable,CompShg,None,816,0,264.0,Paved,128500,1080.0
1-STORY 1945 & OLDER,Resi Low Density,7290,True,SWISU,1Fam,Good,1921,Gable,CompShg,BrkFace,1424,0,312.0,Paved,168000,1736.0
2-STORY 1946 & NEWER,Resi Low Density,7472,True,NAmes,1Fam,Good,1972,Gable,CompShg,BrkFace,725,754,484.0,Paved,184000,1963.0
2 FAMILY CONVERSION,Resi Low Density,7000,True,NAmes,2fmCon,Average,1962,Gable,CompShg,None,1025,0,0.0,Paved,124000,1025.0
1-STORY 1946 & NEWER,Resi Low Density,11717,True,NWAmes,1Fam,Above Avg,1970,Hip,CompShg,BrkFace,1442,0,615.0,Paved,185000,2057.0
2-STORY 1946 & NEWER,Resi Low Density,11194,True,Gilbert,1Fam,Very good,2000,Gable,CompShg,BrkFace,1454,482,504.0,Paved,230500,2440.0
2-STORY 1946 & NEWER,Resi Low Density,11250,True,CollgCr,1Fam,Good,1998,Gable,CompShg,BrkFace,1070,869,555.0,Paved,227000,2494.0
2-STORY 1946 & NEWER,Resi Low Density,8633,True,CollgCr,1Fam,Above Avg,2005,Gable,CompShg,None,738,738,540.0,Paved,173500,2016.0
SPLIT FOYER,Resi Low Density,8400,True,NAmes,1Fam,Average,1968,Gable,CompShg,None,898,0,326.0,Paved,140000,1224.0
1-STORY 1946 & NEWER,Resi Low Density,10037,True,Somerst,1Fam,Very good,2006,Hip,CompShg,0,1460,0,480.0,Paved,247000,1940.0
SPLIT FOYER,Resi Low Density,8014,True,Sawyer,1Fam,Above Avg,1978,Gable,CompShg,BrkFace,1034,0,504.0,Paved,149900,1538.0
1-STORY 1946 & NEWER,Resi Low Density,12250,True,CollgCr,1Fam,Average,1978,Gable,CompShg,BrkFace,1174,0,528.0,Paved,158000,1702.0
2ST PUD - 1946 & NEWER,Floating Village,2403,True,Somerst,TwnhsE,Good,2003,Gable,CompShg,None,530,550,496.0,Paved,147110,1576.0
1-1/2 STORY FINISHED,Resi Med Density,8600,True,IDOTRR,1Fam,Above Avg,1937,Gable,CompShg,None,780,596,198.0,Dirt/Gravel,119500,1574.0
1-1/2 STORY FINISHED,Resi Low Density,13680,True,Crawfor,1Fam,Average,1940,Gable,CompShg,None,840,727,440.0,Paved,205000,2007.0
2-STORY 1945 & OLDER,Resi Low Density,10800,False,OldTown,1Fam,Average,1895,Gable,CompShg,None,751,783,0.0,Dirt/Gravel,148000,1534.0
1-STPUD-1946 & NEWER,Resi Low Density,5389,True,StoneBr,TwnhsE,Very good,1995,Gable,CompShg,None,1616,0,608.0,Paved,236500,2224.0
1-1/2 STORY FINISHED,Resi Low Density,10890,True,SWISU,1Fam,Average,1938,Gable,CompShg,None,1058,493,240.0,Paved,137000,1791.0
1-STORY 1946 & NEWER,Resi Low Density,9768,True,NAmes,1Fam,Average,1955,Gable,CompShg,None,960,0,330.0,Paved,122000,1290.0
1-STORY 1946 & NEWER,Resi Low Density,8993,True,Gilbert,1Fam,Good,2007,Gable,CompShg,None,1302,0,436.0,Paved,176485,1738.0
1-STORY 1945 & OLDER,Resi Low Density,11672,False,BrkSide,1Fam,Average,1925,Gable,CompShg,None,816,0,210.0,Dirt/Gravel,109000,1026.0
1-STPUD-1946 & NEWER,Resi Med Density,9763,True,GrnHill,TwnhsE,Good,1998,Gable,CompShg,BrkFace,1502,0,286.0,Paved,330000,1788.0
1-STORY 1946 & NEWER,Resi Med Density,9836,False,OldTown,1Fam,Above Avg,2008,Gable,CompShg,None,1133,0,308.0,Paved,143000,1441.0
2-STORY 1946 & NEWER,Resi Low Density,10557,True,NoRidge,1Fam,Excellent,1998,Gable,CompShg,BrkFace,1671,1407,806.0,Paved,410000,3884.0
2-STORY 1946 & NEWER,Resi Low Density,8462,True,SawyerW,1Fam,Above Avg,1994,Gable,CompShg,BrkFace,936,785,471.0,Paved,201000,2192.0
1-1/2 STORY FINISHED,Resi Low Density,10818,False,OldTown,1Fam,Below Avg,1910,Gable,CompShg,None,981,779,648.0,Paved,80000,2408.0
2-STORY 1945 & OLDER,Resi Low Density,7259,True,Crawfor,1Fam,Above Avg,1945,Gambrel,CompShg,None,1436,884,180.0,Paved,259500,2500.0
2-STORY 1946 & NEWER,Resi Low Density,11800,True,Timber,1Fam,Good,2003,Gable,CompShg,BrkFace,1146,1340,452.0,Paved,279900,2938.0
1-STORY 1946 & NEWER,Resi Low Density,7500,True,NAmes,1Fam,Average,1959,Hip,CompShg,None,1246,0,305.0,Paved,154000,1551.0
1-1/2 STORY FINISHED,Resi Low Density,159000,True,ClearCr,1Fam,Above Avg,1958,Gable,CompShg,BrkCmn,1444,700,389.0,Paved,277000,2533.0
1-1/2 STORY FINISHED,Resi Low Density,6488,True,Edwards,1Fam,Average,1942,Gable,CompShg,None,799,351,215.0,Paved,128000,1365.0
1-STORY 1946 & NEWER,Resi Low Density,14230,True,NridgHt,1Fam,Very good,2007,Gable,CompShg,Stone,1600,0,890.0,Paved,256300,2490.0
1-1/2 STORY FINISHED,Resi Low Density,7810,True,Crawfor,1Fam,Below Avg,1930,Gable,CompShg,None,1230,525,231.0,Paved,188000,1986.0
1-STORY 1946 & NEWER,Resi Low Density,14331,True,Timber,1Fam,Very good,2002,Hip,CompShg,BrkFace,1800,0,765.0,Paved,312500,2565.0
2ST PUD - 1946 & NEWER,Floating Village,3182,False,Somerst,TwnhsE,Good,2004,Gable,CompShg,None,600,600,480.0,Paved,151000,1680.0
2ST PUD - 1946 & NEWER,Resi Med Density,1920,True,BrDale,TwnhsE,Average,1971,Gable,CompShg,BrkFace,765,600,440.0,Paved,122500,1805.0
2-STORY 1946 & NEWER,Resi Low Density,10110,True,SawyerW,1Fam,Above Avg,2003,Gable,CompShg,None,835,861,542.0,Paved,188000,2238.0
2-STORY 1946 & NEWER,Resi Low Density,10984,True,CollgCr,1Fam,Good,2005,Gable,CompShg,None,945,864,638.0,Paved,209700,2447.0
1-STORY 1946 & NEWER,Resi Low Density,14082,True,StoneBr,1Fam,Very good,2006,Hip,CompShg,BrkFace,2234,0,724.0,Paved,441929,2958.0
2-STORY 1946 & NEWER,Resi Low Density,8480,True,SawyerW,1Fam,Above Avg,1993,Gable,CompShg,BrkFace,886,794,474.0,Paved,163000,2154.0
2-STORY 1946 & NEWER,Resi Low Density,12205,True,ClearCr,1Fam,Above Avg,1966,Gable,CompShg,BrkFace,976,1111,444.0,Paved,187500,2531.0
1-STORY 1946 & NEWER,Resi Low Density,15750,True,CollgCr,1Fam,Very good,1999,Gable,CompShg,BrkFace,1513,0,521.0,Paved,220000,2034.0
1-STORY 1946 & NEWER,Resi Low Density,8050,True,NAmes,1Fam,Average,1967,Gable,CompShg,None,1107,0,308.0,Paved,127000,1415.0
1-STORY 1946 & NEWER,Resi Low Density,7200,True,NAmes,1Fam,Average,1955,Gable,CompShg,None,827,0,392.0,Paved,107500,1219.0
2-1/2 STORY,Resi Med Density,6300,False,OldTown,1Fam,Above Avg,1914,Gable,CompShg,None,742,742,0.0,Paved,128000,1484.0
1-STORY 1945 & OLDER,Resi Med Density,5232,False,OldTown,1Fam,Average,1925,Gable,CompShg,None,764,0,504.0,Dirt/Gravel,73000,1268.0
1-STORY 1946 & NEWER,Resi Low Density,11846,True,NridgHt,1Fam,Excellent,2003,Hip,CompShg,BrkFace,1792,0,874.0,Paved,374000,2666.0
2-STORY 1946 & NEWER,Resi Low Density,16900,True,NridgHt,1Fam,Very good,2001,Gable,CompShg,BrkFace,1515,1134,746.0,Paved,421250,3395.0
2-STORY 1946 & NEWER,Resi Low Density,9636,True,Gilbert,1Fam,Above Avg,1992,Gable,CompShg,None,808,785,389.0,Paved,178000,1982.0
SPLIT FOYER,Resi Low Density,10012,True,Edwards,1Fam,Below Avg,1972,Gable,CompShg,None,1181,0,588.0,Paved,137500,1769.0
1-STORY 1946 & NEWER,Resi Low Density,14303,True,NoRidge,1Fam,Very good,1994,Hip,CompShg,BrkFace,1987,0,691.0,Paved,301500,2678.0
2-STORY 1945 & OLDER,Resi Low Density,5707,True,SWISU,1Fam,Above Avg,1935,Gable,CompShg,None,647,595,180.0,Paved,105000,1422.0
1-STORY 1946 & NEWER,Resi Low Density,9360,True,NAmes,1Fam,Above Avg,1968,Hip,CompShg,BrkFace,976,0,504.0,Paved,157500,1480.0
1-1/2 STORY FINISHED,Resi Med Density,5680,False,OldTown,1Fam,Average,1901,Gable,CompShg,None,969,245,216.0,Dirt/Gravel,117000,1430.0
1-STORY 1946 & NEWER,Resi Low Density,7000,True,NAmes,1Fam,Average,1962,Gable,CompShg,None,864,0,336.0,Paved,105000,1200.0
1-1/2 STORY FINISHED,Resi Low Density,10480,True,SWISU,1Fam,Above Avg,1936,Gable,CompShg,None,1166,0,240.0,Paved,115000,1406.0
1-STORY 1946 & NEWER,Resi Low Density,11578,True,NridgHt,1Fam,Excellent,2008,Gable,CompShg,Stone,1736,0,834.0,Paved,360000,2570.0
DUPLEX,Resi Low Density,7018,True,SawyerW,Duplex,Average,1979,Gable,CompShg,None,1535,0,400.0,Paved,118858,1935.0
2-STORY 1946 & NEWER,Resi Low Density,9130,True,NWAmes,1Fam,Above Avg,1966,Hip,CompShg,BrkFace,800,832,484.0,Paved,173000,2116.0
1-STORY 1945 & OLDER,Resi Low Density,10800,False,OldTown,1Fam,Fair,1890,Gable,CompShg,None,725,0,320.0,Paved,78500,1045.0
2-STORY 1946 & NEWER,Resi Low Density,8244,True,Gilbert,1Fam,Good,2004,Gable,CompShg,None,840,880,440.0,Paved,183500,2160.0
1-STORY 1946 & NEWER,Resi Med Density,6000,False,OldTown,2fmCon,Below Avg,1953,Gable,CompShg,None,936,0,576.0,Paved,93000,1512.0
1-STPUD-1946 & NEWER,Resi Low Density,3621,True,Blmngtn,TwnhsE,Very good,2003,Hip,CompShg,BrkFace,1589,0,630.0,Paved,226500,2219.0
2-STORY 1946 & NEWER,Resi Low Density,7837,True,Gilbert,1Fam,Above Avg,1993,Gable,CompShg,None,799,772,380.0,Paved,178000,1951.0
1-STORY 1946 & NEWER,Resi Low Density,10665,True,CollgCr,1Fam,Good,2003,Gable,CompShg,BrkFace,1479,0,558.0,Paved,226000,2037.0
2-STORY 1946 & NEWER,Resi Low Density,10457,True,Mitchel,1Fam,Average,1969,Gable,CompShg,BrkFace,784,848,898.0,Paved,173000,2530.0
1-STORY 1946 & NEWER,Resi Low Density,8281,True,Sawyer,1Fam,Average,1965,Gable,CompShg,None,864,0,360.0,Paved,62383,1224.0
2-STORY 1946 & NEWER,Resi Low Density,14948,True,NridgHt,1Fam,Excellent,2008,Hip,CompShg,Stone,1476,1237,858.0,Paved,446261,3571.0
2-STORY 1945 & OLDER,Resi Low Density,7000,True,SWISU,1Fam,Good,1926,Gable,CompShg,None,743,736,312.0,Paved,160000,1791.0
1-STPUD-1946 & NEWER,Resi Med Density,3940,True,Blmngtn,TwnhsE,Good,2004,Hip,CompShg,BrkFace,1576,0,668.0,Paved,219990,2244.0
1-STORY 1946 & NEWER,Resi Low Density,9382,True,CollgCr,1Fam,Good,1999,Gable,CompShg,BrkFace,1479,0,577.0,Paved,191000,2056.0
1-STORY W/FINISHED ATTIC,Resi Low Density,6854,True,BrkSide,1Fam,Average,1925,Gable,CompShg,None,916,144,308.0,Paved,136500,1368.0
1-STORY 1945 & OLDER,Resi Low Density,11515,True,Edwards,1Fam,Below Avg,1958,Gable,CompShg,None,943,0,308.0,Dirt/Gravel,80000,1251.0
1-1/2 STORY FINISHED,Resi Low Density,13837,True,NWAmes,1Fam,Good,1988,Gable,CompShg,BrkFace,1377,806,786.0,Paved,229000,2969.0
2-STORY 1946 & NEWER,Resi Low Density,9938,True,SawyerW,1Fam,Good,1993,Gable,CompShg,BrkFace,1062,887,574.0,Paved,236000,2523.0
1-STORY 1946 & NEWER,Resi Low Density,12633,True,Timber,1Fam,Very Excellent,2006,Hip,CompShg,BrkFace,1824,0,932.0,Paved,392000,2756.0
2-STORY 1945 & OLDER,Resi Med Density,6876,True,IDOTRR,1Fam,Above Avg,1927,Gable,CompShg,None,1146,784,316.0,Paved,149000,2246.0
2ST PUD - 1946 & NEWER,Floating Village,3951,False,Somerst,TwnhsE,Very Excellent,1998,Gable,CompShg,None,1469,924,846.0,Paved,345000,3239.0
2-STORY 1945 & OLDER,Resi Med Density,9856,False,OldTown,1Fam,Average,1900,Hip,CompShg,None,1007,1007,624.0,Paved,169000,2638.0
1-STORY 1946 & NEWER,Resi Low Density,17808,True,Edwards,1Fam,Below Avg,1946,Gable,CompShg,None,1242,0,336.0,Dirt/Gravel,109900,1578.0
2-STORY 1946 & NEWER,Resi Low Density,9627,True,Mitchel,1Fam,Good,1993,Gable,CompShg,BrkFace,996,1004,650.0,Paved,188000,2650.0
1-1/2 STORY FINISHED,Resi Med Density,6000,True,BrkSide,1Fam,Above Avg,1939,Gable,CompShg,None,825,587,280.0,Paved,132500,1692.0
1-STORY 1946 & NEWER,Resi Low Density,9757,True,CollgCr,1Fam,Average,1994,Gable,CompShg,None,990,0,440.0,Paved,143000,1430.0
1-STORY 1946 & NEWER,Resi Low Density,9280,True,Edwards,1Fam,Average,1951,Gable,CompShg,None,1342,0,256.0,Paved,125000,1598.0
1-STORY 1946 & NEWER,Resi Low Density,14780,True,NridgHt,1Fam,Excellent,2005,Hip,CompShg,BrkFace,1868,0,1085.0,Paved,415000,2953.0
2-STORY 1945 & OLDER,Resi Med Density,7740,True,OldTown,1Fam,Below Avg,1910,Gable,CompShg,None,741,622,528.0,Paved,125500,1891.0
1-STORY 1946 & NEWER,Resi Low Density,9600,True,NAmes,1Fam,Above Avg,1958,Hip,CompShg,BrkCmn,1632,0,338.0,Paved,139000,1970.0
2-STORY 1946 & NEWER,Resi Low Density,13478,True,NridgHt,1Fam,Very Excellent,2008,Gable,CompShg,Stone,1728,568,842.0,Paved,451950,3138.0
DUPLEX,Resi Low Density,10926,True,Edwards,Duplex,Average,1959,Hip,CompShg,BrkFace,1678,0,0.0,Paved,119900,1678.0
1-STORY 1946 & NEWER,Resi Low Density,6853,True,Timber,1Fam,Very good,2001,Gable,CompShg,BrkFace,1296,0,471.0,Paved,220000,1767.0
1-STORY 1946 & NEWER,Resi Low Density,10667,True,NAmes,1Fam,Above Avg,1971,Gable,CompShg,BrkFace,1587,0,525.0,Paved,167300,2112.0
1-1/2 STORY FINISHED,Resi Low Density,8212,False,Edwards,1Fam,Average,1941,Gable,CompShg,None,854,444,256.0,Paved,122000,1554.0
DUPLEX,Resi Med Density,9100,True,Sawyer,Duplex,Average,1963,Gable,CompShg,BrkFace,1728,0,504.0,Paved,125000,2232.0
1-STORY 1946 & NEWER,Resi Med Density,6000,True,OldTown,1Fam,Average,1957,Hip,CompShg,None,928,0,288.0,Paved,112500,1216.0
2-STORY 1946 & NEWER,Resi Low Density,9316,True,CollgCr,1Fam,Good,2005,Gable,CompShg,None,879,916,578.0,Paved,191000,2373.0
1-STORY 1946 & NEWER,Resi Low Density,9464,True,NAmes,1Fam,Above Avg,1958,Hip,CompShg,BrkFace,1080,0,288.0,Paved,136000,1368.0
2-STORY 1946 & NEWER,Resi Low Density,10400,True,CollgCr,1Fam,Good,1998,Gable,CompShg,None,866,913,546.0,Paved,197900,2325.0
1-1/2 STORY FINISHED,Resi Med Density,5310,True,OldTown,1Fam,Above Avg,1910,Hip,CompShg,None,1001,634,255.0,Paved,117000,1890.0
1-STORY 1946 & NEWER,Resi Low Density,7406,True,CollgCr,1Fam,Good,2006,Gable,CompShg,Stone,1220,0,632.0,Paved,194000,1852.0
1-STPUD-1946 & NEWER,Floating Village,4538,True,Somerst,TwnhsE,Excellent,2001,Gable,CompShg,BrkFace,1310,0,545.0,Paved,285000,1855.0
